input_file,SWP,delta_C,delta_L
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/121618_covariance.mat,0.537112,0.408728,0.522539
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/121416_covariance.mat,0.205678,0.518078,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/120717_covariance.mat,1.000000,0.000000,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/121921_covariance.mat,0.292893,0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/120515_covariance.mat,0.761424,0.000000,0.337398
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/130417_covariance.mat,0.571536,0.509396,0.334488
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/130619_covariance.mat,0.411867,0.000000,0.831746
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/130518_covariance.mat,0.278587,0.315622,0.999796
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/120414_covariance.mat,0.198786,0.542581,0.999010
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/118831_covariance.mat,0.706403,0.415208,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/119025_covariance.mat,0.063027,0.893060,0.979940
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/119126_covariance.mat,0.158336,0.684384,0.974455
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/130720_covariance.mat,0.292893,-0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/132017_covariance.mat,0.486431,0.726296,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/131823_covariance.mat,0.208706,0.587658,0.955379
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/132118_covariance.mat,0.230686,0.563004,0.933014
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/131419_covariance.mat,1.000000,0.000000,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/131217_covariance.mat,0.253129,0.396094,0.998657
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/131722_covariance.mat,0.292893,-0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/114621_covariance.mat,0.759630,0.339934,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/115017_covariance.mat,0.513625,0.687839,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/114823_covariance.mat,0.693701,0.000000,0.433172
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/114419_covariance.mat,0.292893,-0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/105620_covariance.mat,0.440749,0.790900,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/116726_covariance.mat,0.736886,0.372099,0.000000
