input_file,SWP,delta_C,delta_L
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/107321_covariance_mst.mat,NaN,NaN,0.082837
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/107018_covariance_mst.mat,0.938533,-0.000000,0.086928
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/106521_covariance_mst.mat,0.942011,-0.000000,0.082008
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/106824_covariance_mst.mat,0.945958,-0.000000,0.076427
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/106016_covariance_mst.mat,NaN,NaN,0.063976
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/100206_covariance_mst.mat,0.911198,-0.000000,0.125585
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/100610_covariance_mst.mat,0.945621,-0.000000,0.076903
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/123824_covariance_mst.mat,0.949115,-0.000000,0.071962
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/124220_covariance_mst.mat,0.928135,-0.000000,0.101632
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/127630_covariance_mst.mat,0.917676,-0.000000,0.116424
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/126426_covariance_mst.mat,NaN,NaN,0.069764
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/127832_covariance_mst.mat,0.916463,-0.000000,0.118139
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/123925_covariance_mst.mat,0.925601,-0.000000,0.105217
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/127327_covariance_mst.mat,NaN,NaN,0.097744
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/126628_covariance_mst.mat,0.930938,-0.000000,0.097668
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/125222_covariance_mst.mat,0.931869,-0.000000,0.096352
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/128026_covariance_mst.mat,NaN,NaN,0.115208
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/119025_covariance_mst.mat,NaN,NaN,0.096747
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/121416_covariance_mst.mat,NaN,NaN,0.083958
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/121618_covariance_mst.mat,0.959925,-0.000000,0.056674
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/118831_covariance_mst.mat,0.927937,-0.000000,0.101913
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/120515_covariance_mst.mat,NaN,NaN,0.067826
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/118124_covariance_mst.mat,0.924364,-0.000000,0.106966
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/118528_covariance_mst.mat,0.948707,-0.000000,0.072540
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/120717_covariance_mst.mat,0.932266,-0.000000,0.095790
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/120414_covariance_mst.mat,0.936199,-0.000000,0.090228
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/119126_covariance_mst.mat,0.917703,-0.000000,0.116386
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/123723_covariance_mst.mat,NaN,NaN,0.086486
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/123521_covariance_mst.mat,0.927423,-0.000000,0.102639
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/122822_covariance_mst.mat,0.936340,-0.000000,0.090029
